title_text,title_link,price,review
서경석의 한국사 한 권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367886946,"16,920원",9.0
주식 투자의 기쁨,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369563884,"17,820원",9.5
외계인 자서전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368012771,"17,100원",9.5
삼체 0 : 구상섬전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369462570,"17,010원",9.9
싱크로나이즈드 바다 아네모네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371374318,"11,700원",9.6
류수영의 평생 레시피,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366645662,"22,500원",9.6
어른의 품격을 채우는 100일 필사 노트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=358092951,"18,000원",9.4
궤도,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365990683,"15,300원",8.4
2026 써니 행정법총론 기출문제집 - 전2권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371269314,"41,400원",10.0
초역 부처의 말,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339737027,"16,020원",8.6
과학산문,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370446899,"16,200원",10.0
"AGI, 천사인가 악마인가",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370146993,"16,200원",10.0
연의 편지 (리커버 양장본 한정판 패키지),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371721616,"18,900원",8.8
여학교의 별 3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=316732827,"7,650원",9.9
"까불지 마, 인생 안 끝났어",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372250881,"14,310원",10.0
어른의 행복은 조용하다 (어나더커버),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362366971,"16,020원",9.1
여학교의 별 4,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361704320,"7,650원",9.9
손끝과 연연 12 (더블특전판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371536728,"5,400원",10.0
"첫 여름, 완주",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362755853,"15,300원",9.6
액스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370774805,"16,200원",7.4
키메라의 땅 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369731176,"16,020원",9.9
조용한 회복,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371543057,"19,800원",10.0
말뚝들,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370152807,"15,120원",9.8
흔한남매 19,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362085016,"14,220원",10.0
채식주의자 (리마스터판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=291370219,"15,300원",8.4
고전이 답했다 마땅히 가져야 할 부에 대하여,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366270620,"16,020원",10.0
스토너,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=51001915,"15,120원",9.6
달리기 인류,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369826411,"18,900원",9.8
나의 가치,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370133376,"20,700원",9.8
단 한 번의 삶,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361141292,"15,120원",9.0
워런 버핏 바이블 완결판,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369950039,"34,200원",10.0
어른의 미래,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372003577,"14,400원",10.0
먼저 온 미래,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366598823,"18,000원",9.2
사카모토 데이즈 22 (더블 특전판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370424558,"5,850원",10.0
컵라면은 절대로 불어선 안 돼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370208455,"12,150원",10.0
징계를 마칩니다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368010492,"20,700원",10.0
싯다르타,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329596,"7,200원",9.1
포식하는 자본주의,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371200468,"22,500원",10.0
프로젝트 헤일메리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454373,"19,800원",9.5
미술관에 스파이가 있다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370673358,"20,700원",9.5
료의 생각 없는 생각,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365667648,"18,000원",9.5
일본어 명카피 필사 노트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369749028,"18,900원",9.9
공허의 시대,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371182771,"16,650원",8.9
키메라의 땅 2,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369731260,"16,020원",10.0
각성,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368643292,"16,020원",9.8
어쩌다 리더가 된 당신에게,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370364632,"11,700원",9.5
듀얼 브레인,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=358739031,"18,900원",7.9
시든 꽃에 눈물을 3~4 세트 - 전2권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370920239,"28,800원",9.7
라이프코드 LIFE Code,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371498209,"19,800원",10.0
비트코인 없는 미래는 없다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371990345,"27,900원",10.0
빨간내복야코 안 읽으면 완전 위험한 과학책 3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368857771,"13,500원",10.0
폭풍 속으로,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370304048,"15,300원",9.9
머리 좋은 아이는 이렇게 키웁니다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370622539,"17,010원",10.0
일본어 무작정 따라하기 완전판,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298773222,"23,400원",9.8
주술회전 30 (더블 특장판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369126044,"5,400원",10.0
책 먹는 여우의 가을 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369881409,"12,600원",9.3
작별하지 않는다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278770576,"15,120원",9.0
한국의 미래,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371535660,"19,800원",10.0
긴긴밤,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263027170,"11,250원",9.6
여자에 관하여,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367028290,"15,120원",9.8
필로스트라토스의 그림들,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369578311,"18,050원",9.0
2026 써니 행정법총론 핵심집약,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367329762,"28,800원",10.0
열 살에 시작하는 데일 카네기 인간관계론,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367701699,"11,700원",9.5
캐릭캐릭 체인지! Jewel Joker 주얼 조커 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370794176,"5,850원",10.0
장수경의 삼원소 영문법 - 전3권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=97085904,"30,600원",10.0
돈의 심리학 (30만 부 기념 스페셜 에디션),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=328520781,"17,820원",8.4
노인을 위한 나라는 없다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371997158,"15,300원",9.3
고전이 답했다 마땅히 살아야 할 삶에 대하여,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345266070,"15,120원",9.3
나는 소망한다 내게 금지된 것을,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=189365205,"13,500원",9.5
단 3개의 미국 ETF로 은퇴하라,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=360948172,"17,820원",9.9
치즈 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368907829,"15,300원",9.7
흔한남매 이무기 3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367091916,"14,220원",10.0
